qid,P@10,nDCG@10,pool_size
R165,0.1,0.09478836436955078,300
R166,0.2,0.18340980524840012,300
R167,0.2,0.1681522864689108,300
R168,0.2,0.16421958630632802,300
R169,0.2,0.16421958630632802,300
R170,0.1,0.11004588314904008,300
R171,0.1,0.09478836436955078,300
R172,0.1,0.09478836436955078,300
R173,0.2,0.1681522864689108,300
R174,0.2,0.18340980524840012,300
R175,0.1,0.11004588314904008,300
R176,0.2,0.16421958630632802,300
R177,0.1,0.09478836436955078,300
R178,0.2,0.16421958630632802,300
R179,0.1,0.09478836436955078,300
R180,0.2,0.18340980524840012,300
R181,0.2,0.16421958630632802,300
R182,0.2,0.1681522864689108,300
R183,0.2,0.16421958630632802,300
R184,0.1,0.09478836436955078,300
R185,0.1,0.09478836436955078,300
R186,0.1,0.09478836436955078,300
R187,0.1,0.11004588314904008,300
R188,0.1,0.09478836436955078,300
R189,0.2,0.18340980524840012,300
R190,0.1,0.09478836436955078,300
R191,0.1,0.11004588314904008,300
R192,0.1,0.13886244387355454,300
R193,0.2,0.16421958630632802,300
R194,0.2,0.16421958630632802,300
R195,0.1,0.09478836436955078,300
R196,0.1,0.11004588314904008,300
R197,0.1,0.09478836436955078,300
R198,0.1,0.09478836436955078,300
R199,0.2,0.18340980524840012,300
R200,0.2,0.16421958630632802,300
R201,0.2,0.1681522864689108,300
R202,0.1,0.09478836436955078,300
R203,0.1,0.09478836436955078,300
R204,0.1,0.09478836436955078,300
R205,0.1,0.13886244387355454,300
R206,0.1,0.09478836436955078,300
R207,0.2,0.1681522864689108,300
R208,0.1,0.11004588314904008,300
R209,0.1,0.11004588314904008,300
R210,0.1,0.11004588314904008,300
R211,0.1,0.09478836436955078,300
R212,0.2,0.16421958630632802,300
R213,0.1,0.11004588314904008,300
R214,0.1,0.11004588314904008,300
R215,0.1,0.11004588314904008,300
R216,0.1,0.09478836436955078,300
R217,0.2,0.18340980524840012,300
R218,0.2,0.18340980524840012,300
R219,0.2,0.16421958630632802,300
R220,0.1,0.11004588314904008,300
R221,0.2,0.18340980524840012,300
R222,0.1,0.09478836436955078,300
R223,0.3,0.2532954041105318,300
R224,0.2,0.16421958630632802,300
R225,0.2,0.16421958630632802,300
R226,0.2,0.16421958630632802,300
R227,0.2,0.16421958630632802,300
R228,0.1,0.11004588314904008,300
R229,0.2,0.16421958630632802,300
R230,0.2,0.16421958630632802,300
R231,0.1,0.09478836436955078,300
R232,0.2,0.18340980524840012,300
R233,0.2,0.16421958630632802,300
R234,0.2,0.16421958630632802,300
R235,0.2,0.16421958630632802,300
R236,0.2,0.16421958630632802,300
R237,0.1,0.11004588314904008,300
R238,0.2,0.16421958630632802,300
R239,0.2,0.16421958630632802,300
R240,0.2,0.16421958630632802,300
R241,0.2,0.16421958630632802,300
R242,0.2,0.18340980524840012,300
R243,0.1,0.09478836436955078,300
R244,0.2,0.18340980524840012,300
R245,0.2,0.16421958630632802,300
R246,0.2,0.16421958630632802,300
R247,0.1,0.11004588314904008,300
R248,0.2,0.18340980524840012,300
R249,0.2,0.16421958630632802,300
R250,0.2,0.1884441521277154,300
R251,0.2,0.16421958630632802,300
R252,0.2,0.16421958630632802,300
R253,0.2,0.16421958630632802,300
R254,0.1,0.09478836436955078,300
R255,0.2,0.16421958630632802,300
R256,0.2,0.16421958630632802,300
R257,0.2,0.1681522864689108,300
R258,0.2,0.16421958630632802,300
R259,0.1,0.09478836436955078,300
R260,0.3,0.388244052766991,300
R261,0.2,0.16421958630632802,300
R262,0.1,0.09478836436955078,300
R263,0.2,0.18340980524840012,300
R264,0.2,0.16421958630632802,300
R265,0.2,0.16421958630632802,300
R266,0.1,0.09478836436955078,300
R267,0.1,0.09478836436955078,300
R268,0.2,0.19518900079066107,300
R269,0.2,0.18340980524840012,300
R270,0.1,0.09478836436955078,300
R271,0.1,0.09478836436955078,300
R272,0.1,0.11004588314904008,300
R273,0.2,0.18340980524840012,300
R274,0.2,0.16421958630632802,300
R275,0.2,0.16421958630632802,300
R276,0.1,0.09478836436955078,300
R277,0.2,0.18340980524840012,300
R278,0.1,0.09478836436955078,300
R279,0.2,0.1610425878239398,300
R280,0.2,0.18340980524840012,300
R281,0.2,0.16421958630632802,300
R282,0.1,0.09478836436955078,300
R283,0.2,0.16421958630632802,300
R284,0.2,0.16421958630632802,300
R285,0.2,0.16421958630632802,300
R286,0.1,0.11004588314904008,300
R287,0.1,0.09478836436955078,300
R288,0.2,0.16421958630632802,300
R289,0.2,0.16421958630632802,300
R290,0.2,0.16421958630632802,300
R291,0.1,0.09478836436955078,300
R292,0.2,0.16421958630632802,300
R293,0.1,0.09478836436955078,300
R294,0.1,0.11004588314904008,300
R295,0.2,0.16421958630632802,300
R296,0.1,0.11004588314904008,300
R297,0.1,0.09478836436955078,300
R298,0.2,0.16421958630632802,300
R299,0.1,0.09478836436955078,300
R300,0.1,0.11004588314904008,300
R301,0.1,0.11004588314904008,300
R302,0.2,0.16421958630632802,300
R303,0.1,0.09478836436955078,300
R304,0.2,0.1681522864689108,300
R305,0.2,0.16421958630632802,300
R306,0.1,0.09478836436955078,300
R307,0.2,0.18340980524840012,300
R308,0.2,0.18340980524840012,300
R309,0.1,0.09478836436955078,300
R310,0.1,0.09478836436955078,300
R311,0.2,0.1681522864689108,300
R312,0.2,0.16421958630632802,300
R313,0.1,0.09478836436955078,300
R314,0.2,0.18340980524840012,300
R315,0.1,0.11004588314904008,300
R316,0.1,0.09478836436955078,300
R317,0.2,0.18340980524840012,300
R318,0.2,0.1681522864689108,300
R319,0.1,0.09478836436955078,300
R320,0.1,0.09478836436955078,300
R321,0.2,0.1681522864689108,300
R322,0.1,0.09478836436955078,300
R323,0.1,0.09478836436955078,300
R324,0.1,0.09478836436955078,300
R325,0.1,0.09478836436955078,300
R326,0.1,0.09478836436955078,300
R327,0.1,0.09478836436955078,300
R328,0.1,0.09478836436955078,300
R329,0.3,0.23758350840568812,300
R330,0.2,0.18340980524840012,300
