id,S,S_plus,S_base,s_mn,s_tn,s_mtn
H51,0.19265522157201742,0.19265522157201742,1.246043446038637,0.4383076845196568,0.8784275960636176,0.0770620886288069
H52,0.2889828323580256,0.2889828323580256,1.3560136156796532,0.5661371616408868,0.767651317511148,0.11559313294321
H53,9.931842318036493e-16,9.931842318036493e-16,1.4016184520424593,0.8189520606719187,0.9330710043811544,2.551651455694397e-16
H54,0.5038006745262827,0.5038006745262827,1.3187318237748378,0.3045684099319091,0.714095526628785,0.201520269810513
H55,2.664535259100375e-16,2.664535259100375e-16,1.4560370157663851,0.9770310742890508,0.8430151954189304,0.0
H56,1.6310970957272485e-15,1.6310970957272485e-15,1.1594707923935843,0.5559682381084725,0.8933702523835063,5.103302911388794e-16
H57,0.6028929081494331,0.6028929081494331,1.8263866803966116,0.6755912571502917,0.8537759581586811,0.2411571632597731
H58,0.5119322536311477,0.5119322536311477,1.382961512554192,0.8907818083153975,0.1980047653384077,0.204772901452459
H59,1.3735438350204523,1.3735438350204523,2.325199633292438,0.6284966062748678,0.5610731415651147,0.5494175340081808
H60,0.3493984538150415,0.3493984538150415,1.2938929020734726,0.4173373283815258,0.7632807319415138,0.1397593815260163
H61,1.6310970957272485e-15,1.6310970957272485e-15,1.1852998028574897,0.7627810290294761,0.7188437245423839,5.103302911388794e-16
H62,1.8087327796672735e-15,1.8087327796672735e-15,1.150414810846021,0.518983325182145,0.9190351883753796,5.103302911388794e-16
H63,0.07890445474983245,0.07890445474983245,1.0935627264348824,0.4671158221585249,0.8012070174477879,0.0315617818999328
H64,8.155485478636242e-16,8.155485478636242e-16,1.27539438668551,0.6430082215500523,0.9512347618068344,2.551651455694397e-16
H65,1.9602611567461072,1.9602611567461072,2.549032725681688,4.674364515443258e-16,0.735964461169476,0.7841044626984427
H66,0.19265522157201725,0.19265522157201725,1.6072046478834656,0.8170639552751675,0.9511228276141428,0.0770620886288069
H67,0.9535051571531814,0.9535051571531814,1.2987437393943382,4.674364515443258e-16,0.4315482278014457,0.3814020628612725
H68,1.8087327796672735e-15,1.8087327796672735e-15,1.1222429728423804,0.5098963605175022,0.8929073555354715,5.103302911388794e-16
H69,1.8087327796672735e-15,1.8087327796672735e-15,1.3933393546570665,0.8561828592184683,0.8854913341028628,5.103302911388794e-16
H70,0.7868173098573185,0.7868173098573185,1.82517815585335,0.9210863074856228,0.3768647500094171,0.3147269239429271
H71,0.19726113687457827,0.19726113687457827,1.297706610433346,0.4841105706843659,0.8914462712640945,0.0789044547498311
H72,0.4376724729160606,0.4376724729160606,1.648505774069837,0.5865638755971295,0.9269777508450914,0.175068989166424
H73,1.8087327796672735e-15,1.8087327796672735e-15,1.3605561659516088,0.9396376417563748,0.7610575656831347,5.103302911388794e-16
H74,0.17469922690752135,0.17469922690752135,1.352956207774731,0.7975348086149607,0.6752864174690515,0.0698796907630084
H75,0.5917846438806925,0.5917846438806925,1.7663072585620236,0.4956910726375061,0.972462195714158,0.2367138575522769
H76,1.4534614117872234e-15,1.4534614117872234e-15,1.428316600179676,0.8491250962505056,0.9362706539740876,5.103302911388794e-16
H77,0.2756277616675448,0.2756277616675448,1.5012022502584634,0.9225155386199864,0.6094525721186622,0.1102511046670178
H78,1.2596377577136867e-15,1.2596377577136867e-15,1.047219673319611,0.3614462824990936,0.9475783091504192,2.551651455694397e-16
H79,0.21447922472452924,0.21447922472452924,1.3967786783311578,0.5889987565690961,0.8888755604391892,0.0857916898898117
H80,0.8817246257408781,0.8817246257408781,1.5326585100565708,0.4417462031053168,0.3719211522892994,0.3526898502963511
H81,1.8087327796672735e-15,1.8087327796672735e-15,1.4056082631719482,0.7663449965147823,0.9906653324501512,5.103302911388794e-16
H82,0.473856154027258,0.473856154027258,1.2562365669545923,0.1429642264420001,0.8350112897171685,0.189542461610903
H83,0.10723961236226567,0.10723961236226567,1.2965553460740091,0.584364100447779,0.9022805666919004,0.0428958449449062
H84,1.8087327796672735e-15,1.8087327796672735e-15,1.3873985043919292,0.8003298331801751,0.9339182973097347,5.103302911388794e-16
H85,0.11812618357180606,0.11812618357180606,1.4587165050251414,0.8571473086484707,0.818590593168199,0.0472504734287221
H86,0.06222885010611028,0.06222885010611028,1.3720874251805648,0.764036903752243,0.8732863150908254,0.0248915400424439
H87,1.8087327796672735e-15,1.8087327796672735e-15,1.4411782251855427,0.8771964142811575,0.9242763672007692,5.103302911388794e-16
H88,1.6310970957272485e-15,1.6310970957272485e-15,1.3275018467188424,0.8529745991574071,0.8064027092411441,5.103302911388794e-16
H89,0.6901064440437247,0.6901064440437247,1.9899788172820665,0.7483836749153482,0.8764567916325791,0.2760425776174898
