id,title,year,field,B1_tfidf_dist,B1_bm25_negmax
R87,Semantic Parsing based on Verbal Subcategorization,0,ALL,0.8870861930151892,-109.72845662860374
R88,Boosting Applied to Word Sense Disambiguation,0,ALL,0.8902353928185397,-159.25588985208992
R89,Naive Bayes and Exemplar-Based approaches to Word Sense Disambiguation Revisited,0,ALL,0.8951927701942091,-224.96739972326162
R90,Coaxing Confidences from an Old Friend: Probabilistic Classifications from Transformation Rule Lists,0,ALL,0.8932513328677915,-149.8591975376941
R91,Stacking classifiers for anti-spam filtering of e-mail,0,ALL,0.7600833117201231,-83.56067609107795
R92,Propositional satisfiability in answer-set programming,0,ALL,0.7536342103432404,-275.40428399587233
R93,aspps --- an implementation of answer-set programming with propositional schemata,0,ALL,0.802387274234718,-96.26184956116866
R94,A Logic Programming Approach to Knowledge-State Planning: Semantics and Complexity,0,ALL,0.8491871087969947,-264.78848273560686
R95,Computing Preferred Answer Sets by Meta-Interpretation in Answer Set Programming,0,ALL,0.8018217438429232,-281.64193707540767
R96,"The Mysterious Optimality of Naive Bayes: Estimation of the Probability in the System of ""Classifiers""",0,ALL,0.9029734370787708,-138.84308194165166
R97,Robust Global Localization Using Clustered Particle Filtering,0,ALL,0.7696702073651809,-313.66708241512026
R98,Relational Association Rules: getting WARMeR,0,ALL,0.8867405545521108,-133.6017353158255
R99,A Polynomial Translation of Logic Programs with Nested Expressions into Disjunctive Logic Programs: Preliminary Report,0,ALL,0.7984303873957362,-337.60300962241934
R100,Offline Specialisation in Prolog Using a Hand-Written Compiler Generator,0,ALL,0.8685170072596253,-344.0263232179677
R101,Approximate Grammar for Information Extraction,0,ALL,0.756509422903606,-196.7935750872262
R102,Conflict-based Force Aggregation,0,ALL,0.8703829841214292,-110.37254389121114
R103,Bounded LTL Model Checking with Stable Models,0,ALL,0.8786969210447096,-202.27010022997874
R104,"'Computing' as Information Compression by Multiple Alignment, Unification and Search",0,ALL,0.9094176315720619,-215.79245000061883
R105,"Syntax, Parsing and Production of Natural Language in a Framework of Information Compression by Multiple Alignment, Unification and Search",0,ALL,0.8871824067895694,-258.7715159859636
R106,Learning in Multiagent Systems: An Introduction from a Game-Theoretic Perspective,0,ALL,0.8662387742808821,-180.06346937597135
R107,Abduction in Well-Founded Semantics and Generalized Stable Models,0,ALL,0.8705648311313714,-343.89660856401616
R108,Intelligent search strategies based on adaptive Constraint Handling Rules,0,ALL,0.8825065242782666,-254.92687705807452
R109,A FP-Tree Based Approach for Mining All Strongly Correlated Pairs without Candidate Generation,0,ALL,0.878603727228132,-177.61691306810408
R110,ANTIDS: Self-Organized Ant-based Clustering Model for Intrusion Detection System,0,ALL,0.870124093241497,-273.85873275343374
R111,Self-Organized Stigmergic Document Maps: Environment as a Mechanism for Context Learning,0,ALL,0.8527754097581773,-270.50060162594343
R112,Map Segmentation by Colour Cube Genetic K-Mean Clustering,0,ALL,0.8544504954609442,-257.09753279210275
R113,Image Colour Segmentation by Genetic Algorithms,0,ALL,0.8753885749009992,-265.7067211565678
R114,A Suffix Tree Approach to Email Filtering,0,ALL,0.8691676079296503,-160.32013826517263
R115,Componentwise Least Squares Support Vector Machines,0,ALL,0.8952033480712396,-168.0177420645936
R116,A Unified Subspace Outlier Ensemble Framework for Outlier Detection in High Dimensional Spaces,0,ALL,0.8572861889767833,-394.8741500452728
R117,A Fast Greedy Algorithm for Outlier Mining,0,ALL,0.8883966827115344,-183.62158184258223
