new_id,old_id,S_new,S_old,delta
R289,H2047,-0.169021038096468,-0.0649352402166403,-0.10408579787982772
R290,H2119,-0.2443097988534021,-0.002505518550815,-0.2418042803025871
R291,H1550,-0.0387190103448134,-0.6007264581376263,0.5620074477928129
R292,H1331,-0.0216747233711022,-0.6344599797784337,0.6127852564073315
R293,H1433,-0.1787771091278101,-0.0675024236385132,-0.1112746854892969
R294,H1144,-0.1002064805547164,-0.5368175509628617,0.4366110704081453
R295,H73,-0.2244495836825636,-0.7880906589742722,0.5636410752917086
R296,H959,-0.1718298776308627,-0.0018705608703295,-0.1699593167605332
R297,H818,-0.0175055648313953,-0.1822198731367185,0.1647143083053232
R298,H807,-0.0020962742579669,-0.5119181857958053,0.5098219115378384
R299,H682,-0.049282053343525,-0.4882028446799205,0.4389207913363955
R300,H2136,-0.0301877579666421,-0.741067682332952,0.7108799243663099
R301,H1587,-0.003819136178769,-0.7110137225656786,0.7071945863869097
R302,H1556,-0.1396818975163442,-0.0079041331166883,-0.13177776439965588
R303,H1984,-0.0082584236236809,-0.8246799026320556,0.8164214790083747
R304,H1124,-0.0301004144062107,-0.0091917063825469,-0.020908708023663798
R305,H1699,-0.315274888797265,-0.5164338427834473,0.20115895398618228
R306,H2106,-0.0010145107465043,-0.6018071288917765,0.6007926181452722
R307,H1259,-0.0329921426317377,-0.2804208766873,0.2474287340555623
R308,H1344,-0.0017989346931382,-0.8292374291198911,0.8274384944267529
R309,H897,-0.1834025005740059,-0.7139392782866987,0.5305367777126928
R310,H2091,-0.0321907321195347,-0.4073804165718205,0.3751896844522858
R311,H509,-0.2624784901628514,-0.2103188069737996,-0.052159683189051814
R312,H1129,-0.0403610133913951,-0.8292919865503532,0.7889309731589581
R313,H701,-0.1396163612488964,-0.1836906256001325,0.0440742643512361
R314,H1844,-0.1810630269406041,-0.5992832535863879,0.4182202266457838
R315,H1865,-0.1535303296146093,-0.5010292062226055,0.34749887660799617
R316,H1061,-0.2023304255910775,-0.3682896741628054,0.1659592485717279
R317,H1110,-0.1808398872181134,-0.3340314084523515,0.15319152123423813
R318,H1062,-0.1774141838606071,-0.3494359906783138,0.17202180681770673
R319,H319,-0.0083855906976205,-0.8055564106675053,0.7971708199698848
R320,H1729,-0.2407036739924139,-0.6699688134596299,0.429265139467216
R321,H659,-0.1813431459391848,-0.7440989180473548,0.5627557721081701
R322,H607,-0.1085336103544149,-0.8152368525147624,0.7067032421603475
R323,H415,-0.0740174785952792,-0.5903581321556647,0.5163406535603855
R324,H1119,-0.238515656629181,-0.5099150404645904,0.27139938383540935
R325,H360,-0.1208261758067948,-0.7999941703801754,0.6791679945733806
R326,H518,-0.349281197718612,-0.2925918450872317,-0.05668935263138031
R327,H655,-0.2386342233299176,-0.6499294078364668,0.4112951845065492
R328,H172,-0.170603504323018,-0.0797086846595019,-0.09089481966351609
R329,H1158,-0.0064590354033266,-0.1800951568966989,0.1736361214933723
R330,H492,-0.0234988743783584,-0.6675141368449737,0.6440152624666153
