new_id,old_id,S_new,S_old,delta
R238,H1301,-0.0464597901449594,-0.3744372604579703,0.32797747031301094
R239,H1854,-0.0748745762664925,-0.3491678039868162,0.27429322772032366
R240,H1438,-0.2615611575391208,-0.2532723265831074,-0.008288830956013404
R241,H1344,-0.1255894743062885,-0.8292374291198911,0.7036479548136025
R242,H416,-0.0182094943889527,-0.6037417074424208,0.5855322130534681
R243,H1747,-0.0088125011785248,-0.7885318223255304,0.7797193211470056
R244,H1127,-0.1916151918812602,-0.208487632843648,0.016872440962387797
R245,H1033,-0.0939165130962693,-0.5457448334866927,0.45182832039042337
R246,H2021,-0.2355898656352599,-0.0130360188220852,-0.22255384681317472
R247,H1638,-0.0627682826053376,-0.5998437743494437,0.5370754917441061
R248,H1475,-0.002749155007857,-0.145046382318891,0.142297227311034
R249,H362,-0.1171985465203867,-0.8067056615094063,0.6895071149890195
R250,H1096,-0.1821451862726607,-0.311959587218866,0.12981440094620533
R251,H19,-0.0393492631699039,-0.0153860151028447,-0.023963248067059198
R252,H1744,-0.0092356988802167,-0.1885396978647027,0.179303998984486
R253,H1855,-0.1409677101912925,-0.0126550993746429,-0.1283126108166496
R254,H921,-0.0837262020109939,-0.3804884410958118,0.2967622390848179
R255,H1774,-0.2107432294677282,-0.5700522356624752,0.35930900619474704
R256,H1891,-0.1603304593585124,-0.774013973632474,0.6136835142739616
R257,H992,-0.001554659638151,-0.2247634219135481,0.2232087622753971
R258,H870,-0.0579773708742366,-0.2587758387002514,0.2007984678260148
R259,H2120,-0.0462403777677938,-0.4321619889408668,0.385921611173073
R260,H720,-0.0003478782958332,-0.7907027766954854,0.7903548983996522
R261,H1622,-0.1468810208368745,-0.6033946418763905,0.456513621039516
R262,H1605,-0.1285309026437532,-0.8299819778907558,0.7014510752470026
R263,H990,-0.0034985935982991,-0.0540393357633292,0.0505407421650301
R264,H604,-0.0987725328188244,-0.649000239973801,0.5502277071549766
R265,H1651,-0.1558092481968676,-0.7273208440621434,0.5715115958652758
R266,H867,-0.0697103353351928,-0.7602808792672706,0.6905705439320778
R267,H743,-0.0403253214664862,-0.3655556678497307,0.3252303463832445
R268,H1998,-0.002387178469564,-0.0440160465711154,0.0416288681015514
R269,H1390,-0.1368717850038373,-0.3487373619916147,0.21186557698777742
R270,H1224,-0.2006130772399647,-0.3100192314093528,0.10940615416938809
R271,H297,-0.0381169674754062,-0.8038371671789867,0.7657201997035805
R272,H37,-0.0060577575347809,-0.7098972623734003,0.7038395048386195
R273,H1315,-0.0263965592815279,-0.0300152314192371,0.003618672137709198
R274,H1885,-0.2540221146024339,-0.1641339010096647,-0.08988821359276919
R275,H2108,-0.2553961879477137,-0.5149025614574703,0.2595063735097566
R276,H1043,-0.0033896219026464,-0.0572503804824428,0.0538607585797964
R277,H929,-0.0031905569862874,-0.6558926933402295,0.652702136353942
R278,H795,-0.1204238660685853,-0.7848278024618042,0.6644039363932188
R279,H848,-0.0010990031667241,-0.1957427795521286,0.1946437763854045
R280,H975,-0.0409805568510694,-0.3022287108531775,0.2612481540021081
R281,H1777,-0.0002838687105568,-0.5903485476190763,0.5900646789085195
R282,H686,-0.1594689352641496,-0.575513660897334,0.4160447256331844
R283,H2124,-0.160099825978114,-0.8083111196252099,0.6482112936470958
R284,H2094,-0.0697049700332139,-0.665988518008897,0.5962835479756832
R285,H1515,-0.3229761270402813,-0.5985439556532849,0.2755678286130036
R286,H745,-0.1602876803727127,-0.7462650876970917,0.585977407324379
R287,H1942,-0.3156559832178829,-0.6489910348361106,0.33333505161822774
R288,H759,-0.0530518129675201,-0.1385143697148989,0.08546255674737879
